ID,Jornada,Puntos,Nombre,Equipo,Posición,Valoración,Pases totales,Pases precisos,Balones en largo totales,Centros totales,Duelos aéreos perdidos,Duelos perdidos,Duelos ganados,Regateado,Regates totales,Regates completados,Tiros a puerta,Tiros bloqueados en ataque,Goles,Despejes totales,Intercepciones,Entradas totales,Faltas recibidas,Minutos jugados,Toques,Valoración,Posesiones perdidas,Goles esperados,Pases clave,MATCH_STAT_expectedAssists,Balones en largo precisos,Asistencias de gol,Pérdidas,Tiros fuera,Faltas cometidas,Duelos aéreos ganados,Tiros bloqueados en defensa,Centros precisos,Ocasiones claras falladas,Ocasiones creadas,Fueras de juego,Errores que llevan a disparo,Tiros al palo,Penaltis provocados,Despejes en la línea de gol,Despejes por alto,Paradas desde dentro del área,Paradas,Salidas totales,Salidas precisas,Goles evitados,Despejes con los puños,Entradas como último hombre,Errores que llevan a gol,Penaltis parados,,Penaltis cometidos,Penaltis fallados
53114,J26,,Bellingham,Real Madrid,Mediocentro,"6,7",56,45,1,,1,5,7,,2,1,1,,,,1,2,3,90,73,"6,7",16,"0,3",,"0,0",1,,2,,1,1,,,1,,1,,,,,,,,,,,,,,,,,
53114,J27,,Bellingham,Real Madrid,Mediocentro,"6,4",6,4,,,2,4,2,,1,,,,,,,,1,26,14,"6,4",5,0,,"0,0",,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,
607,J1,2,Mayoral,Getafe,Delantero,"6,6",9,6,,4,,3,4,1,3,2,,,,,,1,,59,20,"6,6",10,"0,1",,"0,0",,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,
607,J2,2,Mayoral,Getafe,Delantero,"7,3",21,13,2,,4,5,8,,1,1,1,1,1,1,,,3,89,31,"7,3",9,"1,4",,"0,0",1,,,2,1,4,,,1,,,,1,,,,,,,,,,,,,,,
607,J3,10,Mayoral,Getafe,Delantero,"7,4",18,14,1,1,2,5,6,,3,1,1,,1,1,1,,3,89,29,"7,4",7,"0,1",,"0,0",1,,,,1,2,,1,,,,,,,,,,,,,,,,,,,,
607,J4,9,Mayoral,Getafe,Delantero,"6,8",19,15,4,,4,8,1,,1,,2,2,,,1,,1,90,39,"6,8",13,"0,2",1,"0,0",3,,1,,2,,,,,,,,,,,,,,,,,,,,,,,
607,J5,3,Mayoral,Getafe,Delantero,"7,6",12,9,,,,2,4,1,1,1,2,,1,,,,1,45,16,"7,6",3,"0,8",,"0,0",,,,,1,2,,,,,,,,1,,,,,,,,,,,,,,
607,J6,9,Mayoral,Getafe,Delantero,"6,6",16,10,4,1,,4,6,,3,2,1,1,,1,,,1,90,31,"6,6",10,"0,5",,"0,0",3,,1,,2,3,,1,1,,,,,,,,,,,,,,,,,,,
607,J7,2,Mayoral,Getafe,Delantero,"6,9",26,20,3,1,4,8,3,1,,,1,,,,,,1,82,33,"6,9",10,"0,1",1,"0,3",3,,1,,2,2,,,,,1,,,,,,,,,,,,,,,,,
607,J8,5,Mayoral,Getafe,Delantero,"8,1",13,8,1,1,5,8,3,1,2,2,1,,1,1,,1,,71,21,"8,1",6,"0,4",1,"0,1",1,1,1,,1,,,1,,1,2,,,,,,,,,,,,,,,,,
