48616 ,Lino             ,Atlético       ,Mediocentro ,  24 ,1,78m ,Desconocido ,14.977.000 ,123    ,5,6  ,      22 ,    3 ,       0 ,Apto
 3720 ,López            ,Girona         ,Defensa     ,  34 ,1,85m ,81kg        ,7.092.000  ,90     ,5,6  ,      16 ,    2 ,       3 ,Apto
13005 ,Lunin            ,Real Madrid    ,Portero     ,  25 ,1,91m ,80kg        ,7.067.000  ,79     ,5,6  ,      14 ,    0 ,       1 ,Apto
53099 ,Viera            ,Almería        ,Mediocentro ,  34 ,1,71m ,65kg        ,7.481.000  ,62     ,5,6  ,      11 ,    2 ,       1 ,Apto
11091 ,Méndez           ,Real Sociedad  ,Mediocentro ,  27 ,1,84m ,76kg        ,15.046.000 ,133    ,5,5  ,      24 ,    3 ,       6 ,Apto
  564 ,Oyarzabal        ,Real Sociedad  ,Delantero   ,  26 ,1,81m ,75kg        ,13.507.000 ,122    ,5,5  ,      22 ,    8 ,       2 ,Lesión muscular, Duda esta jornada.
24789 ,Williams         ,Athletic Club  ,Mediocentro ,  21 ,1,80m ,Desconocido ,18.868.000 ,120    ,5,5  ,      22 ,    3 ,       5 ,Doble tarjeta, Baja esta jornada.
15566 ,Herrera          ,Girona         ,Mediocentro ,  26 ,1,84m ,75kg        ,13.304.000 ,109    ,5,5  ,      20 ,    4 ,       5 ,Apto
55794 ,Guiu             ,Barcelona      ,Delantero   ,  18 ,1,87m ,Desconocido ,160.000    ,11     ,5,5  ,       2 ,    1 ,       1 ,Apto
 7024 ,Valverde         ,Real Madrid    ,Mediocentro ,  25 ,1,81m ,67kg        ,20.278.000 ,141    ,5,4  ,      26 ,    1 ,       1 ,Apto
11866 ,Duro             ,Valencia       ,Delantero   ,  24 ,1,80m ,Desconocido ,14.085.000 ,135    ,5,4  ,      25 ,   10 ,       2 ,Apto
17459 ,Rodrygo          ,Real Madrid    ,Delantero   ,  23 ,1,74m ,62kg        ,19.977.000 ,138    ,5,3  ,      26 ,    8 ,       2 ,Apto
18109 ,Rioja            ,Alavés         ,Mediocentro ,  30 ,1,73m ,Desconocido ,14.118.000 ,137    ,5,3  ,      26 ,    4 ,       3 ,Apto
  130 ,Aspas            ,Celta          ,Delantero   ,  36 ,1,76m ,67kg        ,17.704.000 ,126    ,5,3  ,      24 ,    5 ,       6 ,Acumulación de tarjetas, Baja esta jornada.
14911 ,García           ,Rayo Vallecano ,Mediocentro ,  31 ,1,68m ,58kg        ,10.308.000 ,123    ,5,3  ,      23 ,    6 ,       8 ,Apto
31355 ,Sørloth          ,Villarreal     ,Delantero   ,  28 ,1,94m ,90kg        ,11.619.000 ,117    ,5,3  ,      22 ,    9 ,       3 ,Apto
22547 ,Pedri            ,Barcelona      ,Mediocentro ,  21 ,1,74m ,60kg        ,17.700.000 ,79     ,5,3  ,      15 ,    2 ,       3 ,Apto
55453 ,Nyland           ,Sevilla        ,Portero     ,  33 ,1,92m ,78kg        ,2.450.000  ,64     ,5,3  ,      12 ,    0 ,       0 ,Apto
22617 ,Gil              ,Cádiz          ,Portero     ,  30 ,1,83m ,80kg        ,191.000    ,21     ,5,3  ,       4 ,    0 ,       1 ,Apto
19977 ,Araújo           ,Barcelona      ,Defensa     ,  24 ,1,91m ,79kg        ,15.133.000 ,99     ,5,2  ,      19 ,    1 ,       4 ,Apto
52189 ,Pérez            ,Betis          ,Delantero   ,  30 ,1,80m ,66kg        ,7.059.000  ,98     ,5,2  ,      19 ,    4 ,       3 ,Esguince de tobillo, Duda esta jornada.
48684 ,Lewandowski      ,Barcelona      ,Delantero   ,  35 ,1,84m ,79kg        ,20.488.000 ,122    ,5,1  ,      24 ,   12 ,       4 ,Apto
28611 ,Paul             ,Atlético       ,Mediocentro ,  29 ,1,80m ,67kg        ,15.118.000 ,118    ,5,1  ,      23 ,    1 ,       3 ,Apto
11700 ,Torres           ,Barcelona      ,Delantero   ,  23 ,1,85m ,77kg        ,8.510.000  ,107    ,5,1  ,      21 ,    7 ,       2 ,Lesión en los isquiotibiales, Duda esta jornada.
18221 ,Félix            ,Barcelona      ,Delantero   ,  24 ,1,81m ,62kg        ,12.956.000 ,96     ,5,1  ,      19 ,    5 ,       3 ,Apto
23173 ,Arribas          ,Almería        ,Mediocentro ,  22 ,1,71m ,Desconocido ,11.936.000 ,129    ,5,0  ,      26 ,    6 ,       0 ,Apto
55041 ,Omorodion        ,Alavés         ,Delantero   ,  19 ,1,93m ,Desconocido ,9.381.000  ,126    ,5,0  ,      25 ,    9 ,       4 ,Apto
27871 ,Mamardashvili    ,Valencia       ,Portero     ,  23 ,2,00m ,Desconocido ,11.086.000 ,125    ,5,0  ,      25 ,    0 ,       2 ,Apto
25872 ,Gutiérrez        ,Girona         ,Defensa     ,  22 ,1,80m ,Desconocido ,14.949.000 ,124    ,5,0  ,      25 ,    1 ,       3 ,Apto
48935 ,Couto            ,Girona         ,Defensa     ,  21 ,1,69m ,Desconocido ,15.063.000 ,121    ,5,0  ,      24 ,    1 ,       6 ,Apto
13697 ,Merino           ,Real Sociedad  ,Mediocentro ,  27 ,1,88m ,79kg        ,12.005.000 ,111    ,5,0  ,      22 ,    3 ,       6 ,Apto
 3728 ,Roca             ,Betis          ,Mediocentro ,  27 ,1,84m ,74kg        ,11.010.000 ,109    ,5,0  ,      22 ,    2 ,       5 ,Apto
15344 ,Díaz             ,Real Madrid    ,Mediocentro ,  24 ,1,70m ,68kg        ,13.737.000 ,104    ,5,0  ,      21 ,    4 ,       0 ,Apto
  361 ,Berchiche        ,Athletic Club  ,Defensa     ,  34 ,1,81m ,77kg        ,11.660.000 ,99     ,5,0  ,      20 ,    3 ,       3 ,Lesión muscular, Duda esta jornada.
27425 ,Galarreta        ,Athletic Club  ,Mediocentro ,  30 ,1,74m ,64kg        ,9.958.000  ,99     ,5,0  ,      20 ,    1 ,       4 ,Apto
