ID,Jornada,Puntos,Pases totales,Pases precisos,Balones en largo totales,Centros totales,Duelos aereos perdidos,Duelos perdidos,Duelos ganados,Regateado,Regates totales,Regates completados,Tiros a puerta,Tiros bloqueados en ataque,Goles,Despejes totales,Intercepciones,Entradas totales,Faltas recibidas,Minutos jugados,Toques,Valoracion.1,Posesiones perdidas,Goles esperados,Pases clave,MATCH_STAT_expectedAssists,Balones en largo precisos,Asistencias de gol,Perdidas,Tiros fuera,Faltas cometidas,Duelos aereos ganados,Tiros bloqueados en defensa,Centros precisos,Ocasiones claras falladas,Ocasiones creadas,Fueras de juego,Errores que llevan a disparo,Tiros al palo,Penaltis provocados,Despejes en la linea de gol,Despejes por alto,Paradas desde dentro del area,Paradas,Salidas totales,Salidas precisas,Goles evitados,Despejes con los punos,Entradas como ultimo hombre,Errores que llevan a gol,Penaltis parados,Unnamed: 56,Penaltis cometidos,Penaltis fallados
53114,J27,-3.0,56.0,45.0,1.0,,1.0,5.0,6.0,,3.0,1.0,1.0,,,,1.0,1.0,3.0,90.0,72.0,,16.0,0,2,,0,0,1.0,,1.0,,1.0,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,
343,J1,4.0,32.0,30.0,1.0,,,,4.0,,,,,,,1.0,,1.0,3.0,19.0,38.0,,3.0,0,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
343,J2,10.0,63.0,59.0,3.0,5.0,,3.0,5.0,2.0,,,,,,,,3.0,2.0,72.0,77.0,,7.0,0,4.0,0,3,2.0,1.0,,,1.0,,,3.0,,1.0,1.0,,,,,,,,,,,,,,,,,
343,J3,4.0,27.0,26.0,,5.0,,1.0,,,,,,,,,,,,28.0,32.0,,3.0,0,1.0,0,2,,,,,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,
343,J4,10.0,71.0,67.0,9.0,4.0,,1.0,2.0,,,,2.0,,,,,1.0,1.0,45.0,86.0,,8.0,0,2,7.0,0,2,7.0,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,
343,J5,7.0,77.0,72.0,12.0,4.0,,4.0,2.0,2.0,1.0,,,,,,3.0,,1.0,90.0,92.0,,11.0,0,1,2.0,0,2,10.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
343,J6,14.0,79.0,78.0,4.0,3.0,,1.0,3.0,1.0,,,3.0,1.0,1.0,,,1.0,2.0,70.0,94.0,,2.0,0,1,2.0,0,7,4.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
343,J7,3.0,18.0,18.0,2.0,,,,,,,,,,,,,,,13.0,18.0,,,0,,0,0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,J8,10.0,81.0,78.0,2.0,4.0,,,2.0,,1.0,1.0,1.0,,,,1.0,1.0,,90.0,92.0,,7.0,0,1,2.0,0,1,2.0,1.0,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,
343,J9,4.0,36.0,34.0,3.0,1.0,,,,,,,,1.0,,,,,,23.0,41.0,,3.0,0,1,,0,0,2.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
